,sars_cov2_gc_l_mean,raw_ansis_sars_repc_std,sars_below_lod,sars_below_loq,reac_vol_control,sample_ph_pre_ansis,ammonia_mg_l,ophosph_mg_l,suspended_solids_mg_l,reception_delay
count,7238.0,7238.0,7238.0,7238.0,7238.0,7238.0,7238.0,7238.0,7238.0,7238.0
mean,34767.35774051136,39.94560409301253,0.34823215527827633,0.03014363643413542,2.0,7.591386429444802,29.108518840345063,3.2561482598532994,241.74092721011155,24.55501726149067
std,63126.91285186006,75.06953003734587,0.4640589586164647,0.1625455527774859,0.0,0.15337146613057046,13.829438267151481,1.568653253779588,153.62998974197626,7.3368374454224465
min,1.7938575533529106,0.0,0.0,0.0,2.0,6.699999809265138,1.7999999523162842,0.5,13.0,1.0333333333333334
25%,3428.783223470061,3.9885288874052893,0.0,0.0,2.0,7.5,20.031406738077973,2.200000047683716,140.0,22.53735854951522
50%,12036.753066014826,13.84383510571941,0.0,0.0,2.0,7.5999999046325675,27.8855969425326,3.1005798711432693,228.2872590165083,23.816666666666666
75%,38913.43674634826,43.290313720703104,1.0,0.0,2.0,7.699999809265138,36.25810403029815,4.099999904632568,310.0,25.03333333333333
max,790518.7200520835,869.7712402343751,1.0,1.0,2.0,8.100000381469728,130.0,13.0,3900.0000000000014,119.48333333333336
