,CIS20CD,date,sars_cov2_gc_l_mean,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,grab_compo_boo,sars_below_lod,sars_below_loq,reception_delay,catchment_population_ons_mid_2019,catchment_area,catch_in_cis_prop,catch_cis_population,median_prob,ll,ul
0,J06000104,2020-09-04,411.6002569198604,74.0,27.0,3.299999952316284,7.400000095367432,22729300.0,2.0,3.0493363738059998,1.0,0.0,0.0,23.566666666666666,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.16328554627985484,0.09930406506869371,0.2683391344801444
1,J06000104,2020-09-06,10322.5654296875,220.0,36.0,4.199999809265137,7.400000095367432,22729300.0,2.0,38.12648010253906,1.0,0.0,0.0,20.88333333333333,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.18714727256516855,0.11667895918163713,0.2993406379162553
2,J06000104,2020-09-07,1641.4826978047688,260.0,32.0,4.099999904632568,7.400000095367432,22729300.0,2.0,5.061951398849487,1.0,0.0,0.0,23.4,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.19907813570782543,0.12536640623810885,0.31484138963431074
3,J06000104,2020-09-09,66.5,650.0,33.0,4.199999809265137,7.400000095367432,22729300.0,2.0,0.0,1.0,0.0,0.0,23.783333333333335,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.22293986199313914,0.14274130035105229,0.3458428930704216
4,J06000104,2020-09-11,608.0800488789899,230.00000000000003,36.0,4.5,7.400000095367432,22729300.0,2.0,0.42827677726745605,1.0,0.0,0.0,23.616666666666667,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.2536489253400294,0.16576187491286584,0.3854879045023644
5,J06000104,2020-09-13,1991.5646400451715,160.0,37.0,4.599999904632568,7.400000095367432,22729300.0,2.0,8.387655496597292,1.0,0.0,0.0,24.46666666666667,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.2912053257484963,0.19442812992354958,0.43377642393013927
6,J06000104,2020-09-14,2108.235191345204,280.0,36.0,4.800000190734863,7.400000095367432,22729300.0,2.0,0.8389735221862802,1.0,0.0,0.0,23.7,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.3099835259527297,0.2087612574288914,0.4579206836440267
7,J06000104,2020-09-16,2948.590766906736,260.0,36.0,4.5,7.400000095367432,22729300.0,2.0,9.941324710845945,1.0,0.0,0.0,24.2,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.34753992636119657,0.23742751243957513,0.5062092030718015
8,J06000104,2020-09-18,523.413669586178,240.0,38.0,4.800000190734863,7.400000095367432,22729300.0,2.0,3.9628013372421265,1.0,0.0,0.0,25.85,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.38482979353333,0.2664510132470037,0.553650796248974
9,J06000104,2020-09-20,11235.776367187502,71.0,36.0,4.5,7.400000095367432,22729300.0,2.0,13.53379821777343,1.0,0.0,0.0,23.75,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.42185312746913,0.29583175985117716,0.6002454631755441
10,J06000104,2020-09-21,8315.638203938832,270.0,37.0,4.699999809265137,7.400000095367432,22729300.0,2.0,3.7539329528808594,1.0,0.0,0.0,24.033333333333335,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.44036479443702997,0.3105221331532638,0.623542796638829
11,J06000104,2020-09-23,2922.5303166707145,360.0,35.0,4.599999904632568,7.400000095367432,22729300.0,2.0,11.625575542449951,1.0,0.0,0.0,24.016666666666666,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.47738812837282996,0.33990287975743727,0.670137463565399
12,J06000104,2020-09-25,43294.21484375,190.0,33.0,4.099999904632568,7.400000095367432,22729300.0,2.0,44.52569580078125,0.0,1.0,0.0,23.933333333333334,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.5373682857755707,0.38807096475247527,0.7468451110667806
13,J06000104,2020-09-27,10870.798319498695,200.0,32.0,3.799999952316284,7.400000095367432,22729300.0,2.0,26.59310531616211,1.0,0.0,0.0,26.7,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.6203052666452521,0.45502638813837787,0.8536657391429737
14,J06000104,2020-09-28,2146.97543843584,280.0,33.0,4.199999809265137,7.400000095367432,22729300.0,2.0,4.1454458236694345,1.0,0.0,0.0,20.966666666666665,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.6617737570800928,0.48850409983132914,0.9070760531810703
15,J06000104,2020-09-30,3669.633173624672,220.0,35.0,4.400000095367432,7.400000095367432,22729300.0,2.0,4.404185295104982,1.0,0.0,0.0,26.683333333333334,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.7447107379497742,0.5554595232172317,1.0138966812572634
16,J06000104,2020-10-02,6586.8291015625,240.0,31.0,3.799999952316284,7.400000095367432,22729300.0,2.0,5.725837707519531,1.0,0.0,0.0,26.15,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.8132779815626913,0.6115745220812469,1.0974870532535772
17,J06000104,2020-10-04,2619.4912312825836,120.0,8.199999809265137,1.100000023841858,7.400000095367432,22729300.0,2.0,0.18037986755371094,1.0,0.0,0.0,27.1,58579.0,75.7183389948461,0.19004198490761545,58576.83105005922,0.8674754879188438,0.6568490964233746,1.1578471691700114
